ID,TITLE,DESCRIPTION,DURATION,STATUS,DATE PUBLISHED,KEYWORDS,VIDIQ SCORE,VIEWS,YT LIKES,YT COMMENTS,DESC LINK COUNT,DESC WORD COUNT,CREATOR SUGGESTED,ENGAGEMENT RATE
aTKYokyPaTM,🌍 Europe's Most Scenic Truck Route! Germany to UK in ETS2 | Part 2 🚛,"🚦 Traffic jams, reckless drivers, and insane overtakes—this trip has it all! Will I make it to the UK without a scratch? Watch till the end to find out! 😂",54,Public,3/16/2025,"Euro truck simulator 2 steering wheel gameplay, euro truck simulator 2 Realistic driving, Euro truck simulator 2 4k gameplay no commentary, ets2 4k gameplay, euro truck simulator 2 volvo fh4, ets2 v1.53, ets2 volvo fh4, ets2 volvo rework, ets2 volvo fh4 rework, euro truck simulator 2 volvo rework, ets2 moza tsw, moza tsw ets2, moza truck wheel euro truck simulator 2, euro truck simulator 2 moza truck wheel, euro truck simulator 2 moza tsw, moza tsw euro truck simulator 2",27,512,11,0,0,30,2,2
_N1JzHZkL-A,🌍 Europe’s Most Scenic Truck Route! Germany to UK in ETS2 🚛,"🚦 Traffic jams, reckless drivers, and insane overtakes—this trip has it all! Will I make it to the UK without a scratch? Watch till the end to find out! 😂",45,Public,3/16/2025,"#EuroTruckSimulator2, #ETS2, #TruckSimulator, #ScaniaR, #UKDriving, #NightDriving, #TruckGameplay, #SimulationGames, #VirtualTrucking, #DrivingSimulator, #TruckMods, #ETS2Mods, #ScaniaTruck, #BritishRoads, #TruckLife, #GamingCommunity, #PCGaming, #OpenWorldGames, #RealisticSimulation, #TruckEnthusiast, #EuroTruck, #ETS2Gameplay, #TruckDriver, #ScaniaLovers, #UKRoutes, #NightHaul, #TruckAdventure, #ETS2Community, #VirtualDriver, #TruckJourney, ets2 experience, #driving, ets2 best mods, #scania",26.88868801601178,499,9,0,0,30,1,1
1QA5CnxqAh0,🚗💨 This Car Guy Has NO CHILL! Single-Lane Overtake Gone Wrong! 😂,🤣 Some people should NOT be allowed to drive! I was cruising along in ETS2 when this car guy decided to overtake me on a SINGLE LANE ROAD… and it went horribly wrong! 🚗💨💀,60,Public,3/11/2025,"#EuroTruckSimulator2, #ETS2, #TruckSimulator, #ScaniaR, #UKDriving, #NightDriving, #TruckGameplay, #SimulationGames, #VirtualTrucking, #DrivingSimulator, #TruckMods, #ETS2Mods, #ScaniaTruck, #BritishRoads, #TruckLife, #GamingCommunity, #PCGaming, #OpenWorldGames, #RealisticSimulation, #TruckEnthusiast, #EuroTruck, #ETS2Gameplay, #TruckDriver, #ScaniaLovers, #UKRoutes, #NightHaul, #TruckAdventure, #ETS2Community, #VirtualDriver, #TruckJourney, ets2 experience, #driving, ets2 best mods, #scania",26.93183977049975,504,13,0,0,34,0,2
o6yqbM2FHs8,🚛 Crazy Traffic on Britain’s Single-Lane Roads | Scenic Drive #part 4,"🚛 Tight roads, heavy traffic, and breathtaking scenery! Watch as we navigate Britain’s craziest single-lane roads in Euro Truck Simulator 2 (ETS2). This intense drive features tight overtakes, challenging turns, and stunning landscapes along the way! 🌄🔥",49,Public,3/9/2025,"#EuroTruckSimulator2, #ETS2, #ScaniaR, #BritishHighways, #ScenicDrive, #Gaming, #Gamer, #SimulationGames, #TruckDriving, #VirtualTrucking, #ETS2Mods, #ETS2Gameplay, #ETS2Community, #TruckLovers, #DrivingSimulator, #RoadTrip, #UKRoads, #VirtualDriver, #TruckEnthusiast, #EuroTruck, #ETS2Scania, #TruckLife, #ETS2Fans, #ETS2Screenshots, #ETS2Map, #ETS2Cargo, #ETS2Company, #ETS2Journey, #ETS2Adventure, #ETS2Exploration, #ETS2Tour, #ETS2Task, #ETS2Objective, #ETS2Progress, #ETS2Score, #ETS2Points, #ETS2Competition, #ETS2Event",25.046184462693233,326,Like,0,0,37,4,0
Zk3M7stYDz8,Scania R Takes On Britain's Most SCENIC Highways #Part 3,"Taking the mighty Scania R on a relaxing drive through the UK! Smooth highways, beautiful night views, and a legendary truck—join me for this epic ride",60,Public,3/9/2025,"#EuroTruckSimulator2, #ETS2, #TruckSimulator, #ScaniaR, #UKDriving, #NightDriving, #TruckGameplay, #SimulationGames, #VirtualTrucking, #DrivingSimulator, #TruckMods, #ETS2Mods, #ScaniaTruck, #BritishRoads, #TruckLife, #GamingCommunity, #PCGaming, #OpenWorldGames, #RealisticSimulation, #TruckEnthusiast, #EuroTruck, #ETS2Gameplay, #TruckDriver, #ScaniaLovers, #UKRoutes, #NightHaul, #TruckAdventure, #ETS2Community, #VirtualDriver, #TruckJourney, ets2 experience, #driving, ets2 best mods",27.067103439085365,520,Like,0,0,26,0,0
FnN1FNPpIuo,Scania R Takes On Britain's Most SCENIC Highways #Part 2,"Taking the mighty Scania R on a relaxing drive through the UK! Smooth highways, beautiful night views, and a legendary truck—join me for this epic ride",55,Public,3/9/2025,"#EuroTruckSimulator2, #ETS2, #TruckSimulator, #ScaniaR, #UKDriving, #NightDriving, #TruckGameplay, #SimulationGames, #VirtualTrucking, #DrivingSimulator, #TruckMods, #ETS2Mods, #ScaniaTruck, #BritishRoads, #TruckLife, #GamingCommunity, #PCGaming, #OpenWorldGames, #RealisticSimulation, #TruckEnthusiast, #EuroTruck, #ETS2Gameplay, #TruckDriver, #ScaniaLovers, #UKRoutes, #NightHaul, #TruckAdventure, #ETS2Community, #VirtualDriver, #TruckJourney, ets2 experience, #driving, ets2 best mods, #scania",27.10026900461235,524,Like,0,0,26,0,0
2GTJ8_1zfrM,Scania R Takes On Britain's Most SCENIC Highways #Part 1,"Taking the mighty Scania R on a relaxing drive through the UK! Smooth highways, beautiful night views, and a legendary truck—join me for this epic ride",51,Public,2/16/2025,"#EuroTruckSimulator2, #ETS2, #TruckSimulator, #ScaniaR, #UKDriving, #NightDriving, #TruckGameplay, #SimulationGames, #VirtualTrucking, #DrivingSimulator, #TruckMods, #ETS2Mods, #ScaniaTruck, #BritishRoads, #TruckLife, #GamingCommunity, #PCGaming, #OpenWorldGames, #RealisticSimulation, #TruckEnthusiast, #EuroTruck, #ETS2Gameplay, #TruckDriver, #ScaniaLovers, #UKRoutes, #NightHaul, #TruckAdventure, #ETS2Community, #VirtualDriver, #TruckJourney, ets2 experience, #driving, ets2 best mods",12.509775004326936,18,Like,0,0,26,0,0
Ofxogg-C6QY,I Drove a Fully Upgraded Renault Truck Through Europe's Darkest Nights,"Taking the fully upgraded Renault T High Sleeper on a stunning night drive across Europe! Smooth roads, bright city lights, and a beast of an engine—this is what true night trucking is all about!",60,Public,2/9/2025,"strategy, subscribe, #ETS2Gameplay, #TruckDriving, #HighwayChallenge, #BlockedOnTheRoad, #OneLaneTraffic, #NoOvertake, #TruckSimulation, #RealisticGaming, #TruckingLife, #VirtualHighway, #StuckOnRoad, #ETS2Moments, #TenseDriving, #DrivingSimulator, #TruckAhead, #GamingCommunity, #TrafficJam, #TruckDriver, #PatienceOnTheRoad, #RoadAdventure, #HighwayDriving, #SimulationGames, #EpicTrucking, #EuroTruckChallenge, #TruckingExperience, #CloseCall, #ScenicDrives, #RoadJourney, #VirtualEurope",20.897352853986263,125,2,0,0,34,1,1
hlRYUEL7-WU,"Full Speed, No Space! Can We Squeeze Through at 162 km/h? ⚡️","Flying at 162 km/h, and suddenly both lanes are blocked! 😱 Do we risk it all and overtake, or play it safe? Watch to find out! 🚛🔥",59,Public,2/9/2025,"strategy, subscribe, #ETS2Gameplay, #TruckDriving, #HighwayChallenge, #BlockedOnTheRoad, #OneLaneTraffic, #NoOvertake, #TruckSimulation, #RealisticGaming, #TruckingLife, #VirtualHighway, #StuckOnRoad, #ETS2Moments, #TenseDriving, #DrivingSimulator, #TruckAhead, #GamingCommunity, #TrafficJam, #TruckDriver, #PatienceOnTheRoad, #RoadAdventure, #HighwayDriving, #SimulationGames, #EpicTrucking, #EuroTruckChallenge, #TruckingExperience, #CloseCall, #ScenicDrives, #RoadJourney, #VirtualEurope",21.743782540330756,152,Like,0,0,27,2,0
kZz2ipO7URw,Oops! That Wasn't the Route! 🚛 | ETS2 Funny Moment #eurotrucksimulator2,One wrong turn and BOOM—I'm on a whole new adventure! 🤦‍♂️🚛 What was supposed to be a quick drive turned into an unexpected tour. Ever had this happen in ETS2? Let me know in the comments! 😂,54,Public,2/1/2025,"#ETS2, #WrongTurn, #TruckingFail, #EuroTruckSimulator2, #LostDriver, #TruckersLife, #TruckDriving, #DrivingMistakes, #SimulationGaming, #ETS2Gameplay, #TruckingAdventures, #ETS2Fails, epic trucking, navigation fail, silly misadventures, euro truck simulator 2 playthrough, good euro truck simulator episodes, simulator shenanigans, truck misadventures, lost in ets2, driver antics, trucking shenanigans, haulage hiccups, hauling mayhem, freight fails, navigation blunder, trucking comedy",22.732286484107245,191,4,0,0,37,0,2